Date : 2020-06-11 21:38:48
Directory : c:\Users\shiva\Documents\project\Node\isohel-client
Total : 557 files,  132801 codes, 50495 comments, 25189 blanks, all 208485 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Python     |        531 |    118,851 |     50,213 |     25,023 |    194,087 |
| JSON       |          2 |     13,051 |          0 |          2 |     13,053 |
| JavaScript |         10 |        313 |         26 |         52 |        391 |
| Vue        |          4 |        177 |          1 |         23 |        201 |
| CSS        |          1 |        135 |          1 |         19 |        155 |
| PowerShell |          1 |        104 |        248 |         34 |        386 |
| Properties |          3 |         82 |          4 |         11 |         97 |
| Batch      |          2 |         39 |          0 |         17 |         56 |
| Markdown   |          1 |         19 |          0 |          6 |         25 |
| HTML       |          1 |         16 |          1 |          1 |         18 |
| XML        |          1 |         14 |          1 |          1 |         16 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                    |        557 |    132,801 |     50,495 |     25,189 |    208,485 |
| backend                                                                                                                                              |        540 |    119,392 |     50,490 |     25,121 |    195,003 |
| backend\env                                                                                                                                          |        539 |    119,386 |     50,490 |     25,118 |    194,994 |
| backend\env\Lib                                                                                                                                      |        535 |    119,240 |     50,242 |     25,066 |    194,548 |
| backend\env\Lib\site-packages                                                                                                                        |        535 |    119,240 |     50,242 |     25,066 |    194,548 |
| backend\env\Lib\site-packages\click                                                                                                                  |         17 |      4,835 |      2,158 |      1,113 |      8,106 |
| backend\env\Lib\site-packages\flask                                                                                                                  |         20 |      3,588 |      3,690 |      1,098 |      8,376 |
| backend\env\Lib\site-packages\flask\json                                                                                                             |          2 |        297 |        262 |        128 |        687 |
| backend\env\Lib\site-packages\itsdangerous                                                                                                           |         10 |        620 |        301 |        164 |      1,085 |
| backend\env\Lib\site-packages\jinja2                                                                                                                 |         27 |      7,882 |      3,374 |      1,980 |     13,236 |
| backend\env\Lib\site-packages\markupsafe                                                                                                             |          4 |        482 |        135 |         80 |        697 |
| backend\env\Lib\site-packages\pip                                                                                                                    |        327 |     70,253 |     23,771 |     12,856 |    106,880 |
| backend\env\Lib\site-packages\pip\_internal                                                                                                          |         83 |     12,344 |      4,543 |      2,951 |     19,838 |
| backend\env\Lib\site-packages\pip\_internal\cli                                                                                                      |          7 |      1,245 |        283 |        279 |      1,807 |
| backend\env\Lib\site-packages\pip\_internal\commands                                                                                                 |         15 |      1,786 |        252 |        385 |      2,423 |
| backend\env\Lib\site-packages\pip\_internal\distributions                                                                                            |          5 |         90 |         47 |         36 |        173 |
| backend\env\Lib\site-packages\pip\_internal\models                                                                                                   |          8 |        368 |        152 |        109 |        629 |
| backend\env\Lib\site-packages\pip\_internal\operations                                                                                               |          4 |        477 |        124 |        102 |        703 |
| backend\env\Lib\site-packages\pip\_internal\req                                                                                                      |          7 |      1,898 |        565 |        327 |      2,790 |
| backend\env\Lib\site-packages\pip\_internal\utils                                                                                                    |         19 |      1,959 |      1,061 |        582 |      3,602 |
| backend\env\Lib\site-packages\pip\_internal\vcs                                                                                                      |          6 |        882 |        395 |        217 |      1,494 |
| backend\env\Lib\site-packages\pip\_vendor                                                                                                            |        242 |     57,899 |     19,222 |      9,899 |     87,020 |
| backend\env\Lib\site-packages\pip\_vendor\cachecontrol                                                                                               |         13 |        735 |        261 |        264 |      1,260 |
| backend\env\Lib\site-packages\pip\_vendor\cachecontrol\caches                                                                                        |          3 |        111 |         33 |         40 |        184 |
| backend\env\Lib\site-packages\pip\_vendor\certifi                                                                                                    |          3 |          8 |          7 |          8 |         23 |
| backend\env\Lib\site-packages\pip\_vendor\chardet                                                                                                    |         41 |      4,710 |      1,590 |        462 |      6,762 |
| backend\env\Lib\site-packages\pip\_vendor\chardet\cli                                                                                                |          2 |         43 |         32 |         13 |         88 |
| backend\env\Lib\site-packages\pip\_vendor\colorama                                                                                                   |          6 |        578 |         70 |        124 |        772 |
| backend\env\Lib\site-packages\pip\_vendor\distlib                                                                                                    |         19 |      9,616 |      3,129 |      1,732 |     14,477 |
| backend\env\Lib\site-packages\pip\_vendor\distlib\_backport                                                                                          |          6 |      2,695 |      1,032 |        566 |      4,293 |
| backend\env\Lib\site-packages\pip\_vendor\html5lib                                                                                                   |         34 |     10,408 |      1,446 |      1,376 |     13,230 |
| backend\env\Lib\site-packages\pip\_vendor\html5lib\_trie                                                                                             |          4 |        114 |          4 |         51 |        169 |
| backend\env\Lib\site-packages\pip\_vendor\html5lib\filters                                                                                           |          8 |      1,086 |        178 |         92 |      1,356 |
| backend\env\Lib\site-packages\pip\_vendor\html5lib\treeadapters                                                                                      |          3 |         82 |         32 |         23 |        137 |
| backend\env\Lib\site-packages\pip\_vendor\html5lib\treebuilders                                                                                      |          5 |        983 |        222 |        250 |      1,455 |
| backend\env\Lib\site-packages\pip\_vendor\html5lib\treewalkers                                                                                       |          6 |        555 |        165 |        147 |        867 |
| backend\env\Lib\site-packages\pip\_vendor\idna                                                                                                       |          8 |     10,524 |         38 |        213 |     10,775 |
| backend\env\Lib\site-packages\pip\_vendor\lockfile                                                                                                   |          6 |        467 |        324 |        135 |        926 |
| backend\env\Lib\site-packages\pip\_vendor\msgpack                                                                                                    |          4 |        822 |        213 |        110 |      1,145 |
| backend\env\Lib\site-packages\pip\_vendor\packaging                                                                                                  |          9 |        988 |        435 |        398 |      1,821 |
| backend\env\Lib\site-packages\pip\_vendor\pep517                                                                                                     |          8 |        608 |        203 |        177 |        988 |
| backend\env\Lib\site-packages\pip\_vendor\pkg_resources                                                                                              |          2 |      1,839 |        901 |        571 |      3,311 |
| backend\env\Lib\site-packages\pip\_vendor\progress                                                                                                   |          4 |        214 |         56 |         86 |        356 |
| backend\env\Lib\site-packages\pip\_vendor\pytoml                                                                                                     |          6 |        385 |        101 |         80 |        566 |
| backend\env\Lib\site-packages\pip\_vendor\requests                                                                                                   |         18 |      2,561 |      1,617 |        884 |      5,062 |
| backend\env\Lib\site-packages\pip\_vendor\urllib3                                                                                                    |         49 |      6,763 |      3,733 |      1,868 |     12,364 |
| backend\env\Lib\site-packages\pip\_vendor\urllib3\contrib                                                                                            |         10 |      1,846 |        633 |        443 |      2,922 |
| backend\env\Lib\site-packages\pip\_vendor\urllib3\contrib\_securetransport                                                                           |          3 |        650 |        152 |        140 |        942 |
| backend\env\Lib\site-packages\pip\_vendor\urllib3\packages                                                                                           |         19 |      2,070 |      1,197 |        531 |      3,798 |
| backend\env\Lib\site-packages\pip\_vendor\urllib3\packages\backports                                                                                 |          2 |         39 |         11 |          5 |         55 |
| backend\env\Lib\site-packages\pip\_vendor\urllib3\packages\rfc3986                                                                                   |         13 |      1,318 |      1,040 |        333 |      2,691 |
| backend\env\Lib\site-packages\pip\_vendor\urllib3\packages\ssl_match_hostname                                                                        |          2 |         95 |         58 |         24 |        177 |
| backend\env\Lib\site-packages\pip\_vendor\urllib3\util                                                                                               |         10 |        932 |        708 |        279 |      1,919 |
| backend\env\Lib\site-packages\pip\_vendor\webencodings                                                                                               |          5 |        769 |        241 |        105 |      1,115 |
| backend\env\Lib\site-packages\pkg_resources                                                                                                          |         16 |      6,594 |      4,041 |      1,732 |     12,367 |
| backend\env\Lib\site-packages\pkg_resources\_vendor                                                                                                  |         13 |      4,706 |      3,116 |      1,151 |      8,973 |
| backend\env\Lib\site-packages\pkg_resources\_vendor\packaging                                                                                        |          9 |        950 |        421 |        380 |      1,751 |
| backend\env\Lib\site-packages\pkg_resources\extern                                                                                                   |          1 |         42 |         22 |         10 |         74 |
| backend\env\Lib\site-packages\setuptools                                                                                                             |         67 |     13,391 |      5,663 |      3,286 |     22,340 |
| backend\env\Lib\site-packages\setuptools\_vendor                                                                                                     |         12 |      4,400 |      2,876 |      1,088 |      8,364 |
| backend\env\Lib\site-packages\setuptools\_vendor\packaging                                                                                           |          9 |        950 |        421 |        380 |      1,751 |
| backend\env\Lib\site-packages\setuptools\command                                                                                                     |         26 |      4,427 |        997 |        950 |      6,374 |
| backend\env\Lib\site-packages\setuptools\extern                                                                                                      |          1 |         42 |         22 |         10 |         74 |
| backend\env\Lib\site-packages\werkzeug                                                                                                               |         46 |     11,592 |      7,108 |      2,755 |     21,455 |
| backend\env\Lib\site-packages\werkzeug\debug                                                                                                         |          7 |      1,419 |        331 |        264 |      2,014 |
| backend\env\Lib\site-packages\werkzeug\debug\shared                                                                                                  |          3 |        309 |         24 |         36 |        369 |
| backend\env\Lib\site-packages\werkzeug\middleware                                                                                                    |          7 |        732 |        394 |        193 |      1,319 |
| backend\env\Lib\site-packages\werkzeug\wrappers                                                                                                      |         12 |      1,238 |      1,035 |        268 |      2,541 |
| backend\env\Scripts                                                                                                                                  |          3 |        143 |        248 |         51 |        442 |
| public                                                                                                                                               |          1 |         16 |          1 |          1 |         18 |
| src                                                                                                                                                  |         11 |        311 |          4 |         57 |        372 |
| src\components                                                                                                                                       |          1 |         48 |          1 |          5 |         54 |
| src\router                                                                                                                                           |          1 |         37 |          0 |          7 |         44 |
| src\store                                                                                                                                            |          2 |         44 |          0 |         12 |         56 |
| src\views                                                                                                                                            |          2 |         78 |          0 |          7 |         85 |
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                             | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\shiva\Documents\project\Node\isohel-client\.editorconfig                                                                                    | Properties |          7 |          0 |          1 |          8 |
| c:\Users\shiva\Documents\project\Node\isohel-client\README.md                                                                                        | Markdown   |         19 |          0 |          6 |         25 |
| c:\Users\shiva\Documents\project\Node\isohel-client\babel.config.js                                                                                  | JavaScript |          5 |          0 |          1 |          6 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\app.py                                                                                   | Python     |          6 |          0 |          3 |          9 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\click\__init__.py                                                  | Python     |         69 |          8 |          3 |         80 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\click\_bashcomplete.py                                             | Python     |        212 |        118 |         46 |        376 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\click\_compat.py                                                   | Python     |        547 |         99 |        141 |        787 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\click\_termui_impl.py                                              | Python     |        493 |         77 |         88 |        658 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\click\_textwrap.py                                                 | Python     |         32 |          0 |          6 |         38 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\click\_unicodefun.py                                               | Python     |        110 |          2 |         20 |        132 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\click\_winconsole.py                                               | Python     |        272 |         24 |         75 |        371 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\click\core.py                                                      | Python     |      1,126 |        669 |        236 |      2,031 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\click\decorators.py                                                | Python     |        164 |        116 |         54 |        334 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\click\exceptions.py                                                | Python     |        141 |         61 |         52 |        254 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\click\formatting.py                                                | Python     |        177 |         66 |         41 |        284 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\click\globals.py                                                   | Python     |         18 |         20 |         10 |         48 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\click\parser.py                                                    | Python     |        256 |        118 |         55 |        429 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\click\termui.py                                                    | Python     |        299 |        324 |         59 |        682 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\click\testing.py                                                   | Python     |        249 |         84 |         50 |        383 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\click\types.py                                                     | Python     |        458 |        189 |        116 |        763 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\click\utils.py                                                     | Python     |        212 |        183 |         61 |        456 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\easy_install.py                                                    | Python     |          3 |          1 |          2 |          6 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\flask\__init__.py                                                  | Python     |         45 |         13 |          3 |         61 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\flask\__main__.py                                                  | Python     |          3 |         10 |          3 |         16 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\flask\_compat.py                                                   | Python     |         83 |         32 |         31 |        146 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\flask\app.py                                                       | Python     |        840 |      1,413 |        215 |      2,468 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\flask\blueprints.py                                                | Python     |        242 |        247 |         81 |        570 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\flask\cli.py                                                       | Python     |        592 |        198 |        182 |        972 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\flask\config.py                                                    | Python     |         99 |        152 |         19 |        270 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\flask\ctx.py                                                       | Python     |        184 |        230 |         62 |        476 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\flask\debughelpers.py                                              | Python     |        128 |         26 |         30 |        184 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\flask\globals.py                                                   | Python     |         26 |         25 |         12 |         63 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\flask\helpers.py                                                   | Python     |        477 |        559 |        120 |      1,156 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\flask\json\__init__.py                                             | Python     |        155 |        166 |         56 |        377 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\flask\json\tag.py                                                  | Python     |        142 |         96 |         72 |        310 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\flask\logging.py                                                   | Python     |         47 |         40 |         23 |        110 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\flask\sessions.py                                                  | Python     |        161 |        166 |         62 |        389 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\flask\signals.py                                                   | Python     |         34 |         20 |         12 |         66 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\flask\templating.py                                                | Python     |         89 |         38 |         29 |        156 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\flask\testing.py                                                   | Python     |        146 |        100 |         38 |        284 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\flask\views.py                                                     | Python     |         48 |         91 |         25 |        164 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\flask\wrappers.py                                                  | Python     |         47 |         68 |         23 |        138 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\itsdangerous\__init__.py                                           | Python     |         21 |          0 |          2 |         23 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\itsdangerous\_compat.py                                            | Python     |         24 |         14 |          9 |         47 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\itsdangerous\_json.py                                              | Python     |         13 |          1 |          5 |         19 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\itsdangerous\encoding.py                                           | Python     |         27 |          7 |         16 |         50 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\itsdangerous\exc.py                                                | Python     |         31 |         41 |         27 |         99 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\itsdangerous\jws.py                                                | Python     |        170 |         21 |         28 |        219 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\itsdangerous\serializer.py                                         | Python     |        108 |        105 |         21 |        234 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\itsdangerous\signer.py                                             | Python     |         98 |         57 |         25 |        180 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\itsdangerous\timed.py                                              | Python     |         85 |         43 |         20 |        148 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\itsdangerous\url_safe.py                                           | Python     |         43 |         12 |         11 |         66 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\jinja2\__init__.py                                                 | Python     |         37 |          5 |          3 |         45 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\jinja2\_compat.py                                                  | Python     |         92 |          7 |         34 |        133 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\jinja2\_identifier.py                                              | Python     |          4 |          1 |          2 |          7 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\jinja2\asyncfilters.py                                             | Python     |        113 |          2 |         44 |        159 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\jinja2\asyncsupport.py                                             | Python     |        189 |          4 |         72 |        265 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\jinja2\bccache.py                                                  | Python     |        176 |        135 |         40 |        351 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\jinja2\compiler.py                                                 | Python     |      1,363 |        228 |        253 |      1,844 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\jinja2\constants.py                                                | Python     |          1 |         20 |          1 |         22 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\jinja2\debug.py                                                    | Python     |        149 |         70 |         50 |        269 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\jinja2\defaults.py                                                 | Python     |         36 |          4 |          5 |         45 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\jinja2\environment.py                                              | Python     |        714 |        513 |        136 |      1,363 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\jinja2\exceptions.py                                               | Python     |         89 |         45 |         44 |        178 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\jinja2\ext.py                                                      | Python     |        429 |        180 |         96 |        705 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\jinja2\filters.py                                                  | Python     |        569 |        650 |        164 |      1,383 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\jinja2\idtracking.py                                               | Python     |        218 |         16 |         57 |        291 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\jinja2\lexer.py                                                    | Python     |        616 |        148 |         85 |        849 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\jinja2\loaders.py                                                  | Python     |        249 |        177 |         79 |        505 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\jinja2\meta.py                                                     | Python     |         43 |         49 |         10 |        102 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\jinja2\nativetypes.py                                              | Python     |         51 |         18 |         26 |         95 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\jinja2\nodes.py                                                    | Python     |        519 |        275 |        295 |      1,089 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\jinja2\optimizer.py                                                | Python     |         20 |         14 |          8 |         42 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\jinja2\parser.py                                                   | Python     |        772 |         82 |         86 |        940 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\jinja2\runtime.py                                                  | Python     |        611 |        251 |        150 |      1,012 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\jinja2\sandbox.py                                                  | Python     |        281 |        160 |         70 |        511 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\jinja2\tests.py                                                    | Python     |        101 |         68 |         47 |        216 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\jinja2\utils.py                                                    | Python     |        400 |        220 |        113 |        733 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\jinja2\visitor.py                                                  | Python     |         40 |         32 |         10 |         82 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\markupsafe\__init__.py                                             | Python     |        188 |         77 |         63 |        328 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\markupsafe\_compat.py                                              | Python     |         18 |          8 |          8 |         34 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\markupsafe\_constants.py                                           | Python     |        255 |          8 |          2 |        265 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\markupsafe\_native.py                                              | Python     |         21 |         42 |          7 |         70 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\pip\__init__.py                                                    | Python     |          1 |          0 |          1 |          2 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\pip\__main__.py                                                    | Python     |          9 |          6 |          5 |         20 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\pip\_internal\__init__.py                                          | Python     |         45 |         19 |         14 |         78 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\pip\_internal\build_env.py                                         | Python     |        162 |         23 |         34 |        219 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\pip\_internal\cache.py                                             | Python     |        111 |         70 |         44 |        225 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\pip\_internal\cli\__init__.py                                      | Python     |          0 |          3 |          2 |          5 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\pip\_internal\cli\autocompletion.py                                | Python     |         99 |         38 |         16 |        153 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\pip\_internal\cli\base_command.py                                  | Python     |        254 |         44 |         49 |        347 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\pip\_internal\cli\cmdoptions.py                                    | Python     |        670 |        130 |        132 |        932 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\pip\_internal\cli\main_parser.py                                   | Python     |         53 |         20 |         26 |         99 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\pip\_internal\cli\parser.py                                        | Python     |        162 |         48 |         52 |        262 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\pip\_internal\cli\status_codes.py                                  | Python     |          7 |          0 |          2 |          9 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\pip\_internal\commands\__init__.py                                 | Python     |         58 |          6 |         18 |         82 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\pip\_internal\commands\check.py                                    | Python     |         31 |          2 |          9 |         42 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\pip\_internal\commands\completion.py                               | Python     |         54 |         29 |         12 |         95 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\pip\_internal\commands\configuration.py                            | Python     |        185 |         33 |         41 |        259 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\pip\_internal\commands\debug.py                                    | Python     |         80 |          9 |         26 |        115 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\pip\_internal\commands\download.py                                 | Python     |        123 |         19 |         27 |        169 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\pip\_internal\commands\freeze.py                                   | Python     |         83 |          6 |         13 |        102 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\pip\_internal\commands\hash.py                                     | Python     |         39 |          8 |         11 |         58 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\pip\_internal\commands\help.py                                     | Python     |         24 |          3 |         11 |         38 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\pip\_internal\commands\install.py                                  | Python     |        453 |         48 |         80 |        581 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\pip\_internal\commands\list.py                                     | Python     |        235 |         27 |         50 |        312 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\pip\_internal\commands\search.py                                   | Python     |        105 |         11 |         24 |        140 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\pip\_internal\commands\show.py                                     | Python     |        122 |         20 |         27 |        169 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\pip\_internal\commands\uninstall.py                                | Python     |         58 |         11 |         10 |         79 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\pip\_internal\commands\wheel.py                                    | Python     |        136 |         20 |         26 |        182 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\pip\_internal\configuration.py                                     | Python     |        233 |        112 |         73 |        418 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\pip\_internal\distributions\__init__.py                            | Python     |         12 |          5 |          7 |         24 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\pip\_internal\distributions\base.py                                | Python     |         13 |         14 |          7 |         34 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\pip\_internal\distributions\installed.py                           | Python     |          6 |          5 |          5 |         16 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\pip\_internal\distributions\source.py                              | Python     |         51 |         19 |         11 |         81 |
| c:\Users\shiva\Documents\project\Node\isohel-client\backend\env\Lib\site-packages\pip\_internal\distributions\wheel.py                               | Python     |          8 |          4 |          6 |         18 |
